    time(1)             time(2)             stran(1)            stran(2)            stran(3)            stran(4)            stran(5)            stran(6)            stress(1)           stress(2)           stress(3)           stress(4)           stress(5)           stress(6)      statev(1)           statev(2)           statev(3)           statev(4)           statev(5)           statev(6)           statev(7)           statev(8)           statev(9)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)           statev(*)      
 0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       -100.25000000       -90.225000000       -90.225000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000        0.0000000000       
0.12500000000E-03   0.12500000000E-03    0.0000000000        0.0000000000        0.0000000000       0.11313141436E-06    0.0000000000        0.0000000000       -100.24999342       -90.224999257       -90.224999257       0.78539810284E-02    0.0000000000        0.0000000000        69423.560612        76035.328290       0.85200000000       0.52956212691E-01    3.4000000000       -37.224327370        1.3685676842        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.90505131491E-03    0.0000000000        0.0000000000       -.39818441259E-10   0.22292174710E-11   0.22292174710E-11   0.65883632174E-13    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -37.224327370       -.92559631349E+62   
0.63750000000E-02   0.63750000000E-02    0.0000000000        0.0000000000        0.0000000000       0.57739142464E-05    0.0000000000        0.0000000000       -100.23309101       -90.223084974       -90.223084974       0.40044597249        0.0000000000        0.0000000000        69423.560612        76035.328290       0.85200000000       0.52956259825E-01    3.4000000000       -37.224410920        1.3685676118        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.90699539138E-03    0.0000000000        0.0000000000       -.10229884217E-06   0.56901942589E-08   0.56901942589E-08   0.57576010473E-08    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -37.224410920       -.92559631349E+62   
0.12625000000E-01   0.12625000000E-01    0.0000000000        0.0000000000        0.0000000000       0.11458998511E-04    0.0000000000        0.0000000000       -100.18371409       -90.217411596       -90.217411596       0.79242050528        0.0000000000        0.0000000000        69423.560612        76035.328290       0.85200000000       0.52956396589E-01    3.4000000000       -37.224653347        1.3685674015        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.91275151509E-03    0.0000000000        0.0000000000       -.40087498701E-06   0.21874188829E-07   0.21874188829E-07   0.44710648083E-07    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -37.224653347       -.92559631349E+62   
0.18875000000E-01   0.18875000000E-01    0.0000000000        0.0000000000        0.0000000000       0.17192206078E-04    0.0000000000        0.0000000000       -100.10195465       -90.207750854       -90.207750854        1.1831731831        0.0000000000        0.0000000000        69423.560612        76035.328290       0.85200000000       0.52956619992E-01    3.4000000000       -37.225049353        1.3685670579        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.92231792235E-03    0.0000000000        0.0000000000       -.89476329610E-06   0.47252649142E-07   0.47252649142E-07   0.14938700210E-06    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -37.225049353       -.92559631349E+62   
0.25125000000E-01   0.25125000000E-01    0.0000000000        0.0000000000        0.0000000000       0.22997326132E-04    0.0000000000        0.0000000000       -99.987976258       -90.193726145       -90.193726145        1.5721014936        0.0000000000        0.0000000000        69423.560612        76035.328290       0.85200000000       0.52956925041E-01    3.4000000000       -37.225590094        1.3685665888        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.93568465776E-03    0.0000000000        0.0000000000       -.15822318360E-05   0.79667130604E-07   0.79667130604E-07   0.35225463512E-06    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -37.225590094       -.92559631349E+62   
0.31375000000E-01   0.31375000000E-01    0.0000000000        0.0000000000        0.0000000000       0.28898031908E-04    0.0000000000        0.0000000000       -99.842030713       -90.174815968       -90.174815968        1.9586057376        0.0000000000        0.0000000000        69423.560612        76035.328290       0.85200000000       0.52957304699E-01    3.4000000000       -37.226263101        1.3685660050        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.95282277036E-03    0.0000000000        0.0000000000       -.24607237928E-05   0.11610496032E-06   0.11610496032E-06   0.68562504917E-06    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -37.226263101       -.92559631349E+62   
0.37625000000E-01   0.37625000000E-01    0.0000000000        0.0000000000        0.0000000000       0.34917714931E-04    0.0000000000        0.0000000000       -99.664481654       -90.150360133       -90.150360133        2.3420899535        0.0000000000        0.0000000000        69423.560612        76035.328290       0.85200000000       0.52957749828E-01    3.4000000000       -37.227052181        1.3685653206        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.97366873843E-03    0.0000000000        0.0000000000       -.35267214326E-05   0.15271012447E-06   0.15271012447E-06   0.11814741960E-05    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -37.227052181       -.92559631349E+62   
0.43875000000E-01   0.43875000000E-01    0.0000000000        0.0000000000        0.0000000000       0.41908099934E-04    0.0000000000        0.0000000000       -99.206695203       -90.087229041       -90.087229041        2.7219628364        0.0000000000        0.0000000000        69423.560612        76035.328290       0.85199775655       0.52956538841E-01    3.4000000000       -37.228864842        1.3262452448        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.10483693389E-02    0.0000000000        0.0000000000       -.62751120668E-05   0.24669297974E-06   0.24669297974E-06   0.27000470736E-05    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -37.228864842       -.92559631349E+62   
0.50125000000E-01   0.50125000000E-01    0.0000000000        0.0000000000        0.0000000000       0.48613405695E-04    0.0000000000        0.0000000000       -98.882119264       -90.039293131       -90.039293131        3.0976386499        0.0000000000        0.0000000000        69423.560612        76035.328290       0.85199708737       0.52956534412E-01    3.4000000000       -37.230040422        1.3139182246        1.0000000000        0.0000000000        0.0000000000        0.0000000000       0.10978990928E-02    0.0000000000        0.0000000000       -.82177870158E-05   0.29642534296E-06   0.29642534296E-06   0.39939973527E-05    0.0000000000        0.0000000000        0.0000000000        0.0000000000       -37.230040422       -.92559631349E+62   
